case,type,bucket,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
both_dirs_buy_sell,top_hour,Hour=13,1708,0.3413348946135831,15565.0,1.0835861772682114,9.081096849474912
both_dirs_buy_sell,top_hour,Hour=14,1509,0.3525513585155732,5729.0,1.0360183077870966,3.7940397350993376
both_dirs_buy_sell,top_hour,Hour=15,1482,0.3697705802968961,2694.0,1.020700147528891,1.8178137651821864
both_dirs_buy_sell,worst_hour,Hour=15,1482,0.3697705802968961,2694.0,1.020700147528891,1.8178137651821864
both_dirs_buy_sell,worst_hour,Hour=14,1509,0.3525513585155732,5729.0,1.0360183077870966,3.7940397350993376
both_dirs_buy_sell,worst_hour,Hour=13,1708,0.3413348946135831,15565.0,1.0835861772682114,9.081096849474912
both_dirs_buy_sell,top_weekday,Weekday=Tuesday,957,0.3646812957157784,19616.0,1.1998288578297542,20.47599164926931
both_dirs_buy_sell,top_weekday,Weekday=Friday,875,0.3508571428571428,15238.0,1.1613989747066051,17.414857142857144
both_dirs_buy_sell,top_weekday,Weekday=Monday,985,0.3563451776649746,1933.0,1.0211728881878723,1.9564777327935223
both_dirs_buy_sell,worst_weekday,Weekday=Wednesday,935,0.3411764705882353,-8723.0,0.9070696524833272,-9.329411764705885
both_dirs_buy_sell,worst_weekday,Weekday=Thursday,937,0.3575240128068303,-4004.0,0.9588400374181478,-4.259574468085106
both_dirs_buy_sell,worst_weekday,Weekday=Monday,985,0.3563451776649746,1933.0,1.0211728881878723,1.9564777327935223
down_buy_only,top_hour,Hour=15,348,0.3505747126436782,-13.0,0.9995748716439388,-0.0373563218390804
down_buy_only,top_hour,Hour=14,353,0.3314447592067989,-4185.0,0.8948228198039708,-11.855524079320114
down_buy_only,top_hour,Hour=13,403,0.315136476426799,-10309.0,0.7761638005905854,-25.45432098765432
down_buy_only,worst_hour,Hour=13,403,0.315136476426799,-10309.0,0.7761638005905854,-25.45432098765432
down_buy_only,worst_hour,Hour=14,353,0.3314447592067989,-4185.0,0.8948228198039708,-11.855524079320114
down_buy_only,worst_hour,Hour=15,348,0.3505747126436782,-13.0,0.9995748716439388,-0.0373563218390804
down_buy_sell,top_hour,Hour=15,694,0.3631123919308357,-287.0,0.9953736540073506,-0.4135446685878962
down_buy_sell,top_hour,Hour=14,705,0.3404255319148936,-2343.0,0.968985783496148,-3.323404255319149
down_buy_sell,top_hour,Hour=13,815,0.3423312883435583,-5640.0,0.9375981943307296,-6.903304773561811
down_buy_sell,worst_hour,Hour=13,815,0.3423312883435583,-5640.0,0.9375981943307296,-6.903304773561811
down_buy_sell,worst_hour,Hour=14,705,0.3404255319148936,-2343.0,0.968985783496148,-3.323404255319149
down_buy_sell,worst_hour,Hour=15,694,0.3631123919308357,-287.0,0.9953736540073506,-0.4135446685878962
down_buy_sell,top_weekday,Weekday=Tuesday,456,0.3684210526315789,6627.0,1.1499321266968323,14.532894736842104
down_buy_sell,top_weekday,Weekday=Monday,477,0.3563941299790356,5027.0,1.1115648372134312,10.51673640167364
down_buy_sell,top_weekday,Weekday=Friday,395,0.3367088607594937,2368.0,1.0516387901519944,5.99493670886076
down_buy_sell,worst_weekday,Weekday=Wednesday,436,0.3348623853211009,-13353.0,0.6981554319815543,-30.626146788990827
down_buy_sell,worst_weekday,Weekday=Thursday,445,0.3415730337078652,-9119.0,0.8118319508068177,-20.446188340807176
down_buy_sell,worst_weekday,Weekday=Friday,395,0.3367088607594937,2368.0,1.0516387901519944,5.99493670886076
down_sell_only,top_hour,Hour=13,412,0.3689320388349514,4669.0,1.1053332130126787,11.33252427184466
down_sell_only,top_hour,Hour=14,352,0.3494318181818182,1842.0,1.051515829511131,5.232954545454546
down_sell_only,top_hour,Hour=15,346,0.3757225433526011,-274.0,0.9912896970467624,-0.791907514450867
down_sell_only,worst_hour,Hour=15,346,0.3757225433526011,-274.0,0.9912896970467624,-0.791907514450867
down_sell_only,worst_hour,Hour=14,352,0.3494318181818182,1842.0,1.051515829511131,5.232954545454546
down_sell_only,worst_hour,Hour=13,412,0.3689320388349514,4669.0,1.1053332130126787,11.33252427184466
up_buy_only,top_hour,Hour=13,481,0.3534303534303534,18745.0,1.375267762407159,38.72933884297521
up_buy_only,top_hour,Hour=14,402,0.3706467661691542,5913.0,1.1473718316177757,14.672456575682382
up_buy_only,top_hour,Hour=15,382,0.3848167539267015,-874.0,0.9729311199207136,-2.287958115183246
up_buy_only,worst_hour,Hour=15,382,0.3848167539267015,-874.0,0.9729311199207136,-2.287958115183246
up_buy_only,worst_hour,Hour=14,402,0.3706467661691542,5913.0,1.1473718316177757,14.672456575682382
up_buy_only,worst_hour,Hour=13,481,0.3534303534303534,18745.0,1.375267762407159,38.72933884297521
up_buy_sell,top_hour,Hour=13,893,0.3393057110862262,20262.0,1.210300161913065,22.58862876254181
up_buy_sell,top_hour,Hour=14,804,0.36318407960199,8183.0,1.0981163295404133,10.165217391304347
up_buy_sell,top_hour,Hour=15,788,0.3756345177664975,2980.0,1.0437533952928395,3.781725888324873
up_buy_sell,worst_hour,Hour=15,788,0.3756345177664975,2980.0,1.0437533952928395,3.781725888324873
up_buy_sell,worst_hour,Hour=14,804,0.36318407960199,8183.0,1.0981163295404133,10.165217391304347
up_buy_sell,worst_hour,Hour=13,893,0.3393057110862262,20262.0,1.210300161913065,22.58862876254181
up_buy_sell,top_weekday,Weekday=Tuesday,501,0.3612774451097804,12989.0,1.240697502038396,25.874501992031878
up_buy_sell,top_weekday,Weekday=Friday,480,0.3604166666666666,11927.0,1.2430609333605054,24.847916666666663
up_buy_sell,top_weekday,Weekday=Thursday,492,0.3719512195121951,5115.0,1.1047790728639613,10.354251012145747
up_buy_sell,worst_weekday,Weekday=Monday,508,0.3562992125984252,-3094.0,0.9330838938512448,-6.066666666666666
up_buy_sell,worst_weekday,Weekday=Wednesday,499,0.3466933867735471,4630.0,1.0932941081647458,9.278557114228455
up_buy_sell,worst_weekday,Weekday=Thursday,492,0.3719512195121951,5115.0,1.1047790728639613,10.354251012145747
up_sell_only,top_hour,Hour=15,406,0.3669950738916256,3854.0,1.1075905195276514,9.492610837438423
up_sell_only,top_hour,Hour=14,402,0.3557213930348258,2270.0,1.0524515920329036,5.646766169154229
up_sell_only,top_hour,Hour=13,412,0.3228155339805825,1517.0,1.032696079487898,3.6731234866828086
up_sell_only,worst_hour,Hour=13,412,0.3228155339805825,1517.0,1.032696079487898,3.6731234866828086
up_sell_only,worst_hour,Hour=14,402,0.3557213930348258,2270.0,1.0524515920329036,5.646766169154229
up_sell_only,worst_hour,Hour=15,406,0.3669950738916256,3854.0,1.1075905195276514,9.492610837438423
